Lithography,Processor_Base_Frequency,TDP,Max_Memory_Size,Max_Memory_Bandwidth,Graphics_Base_Frequency
65 nm,1.83 GHz,35 W,,,
65 nm,2.00 GHz,31 W,,,
180 nm,600 MHz,13 W,,,
130 nm,1.70 GHz,30 W,,,
250 nm,433 MHz,24.1 W,,,
130 nm,1.20 GHz,32.1 W,,,
65 nm,2.00 GHz,27 W,,,
90 nm,1.30 GHz,21 W,,,
90 nm,2.53 GHz,73 W,,,
32 nm,1.40 GHz,17 W,16 GB,21.3 GB/s,350 MHz
32 nm,1.70 GHz,35 W,16 GB,21.3 GB/s,650 MHz
32 nm,1.80 GHz,35 W,32 GB,17 GB/s,650 MHz
,400 MHz,13.8 W,,,
45 nm,2.60 GHz,65 W,,,
45 nm,2.10 GHz,35 W,,,
65 nm,1.66 GHz,35 W,,,
65 nm,1.60 GHz,65 W,,,
65 nm,2.13 GHz,31 W,,,
65 nm,1.33 GHz,27 W,,,
,550 MHz,,,,
130 nm,1.60 GHz,30 W,,,
250 nm,400 MHz,23.7 W,,,
130 nm,1.20 GHz,24.4 W,,,
130 nm,1.80 GHz,66.1 W,,,
130 nm,1.10 GHz,28.9 W,,,
65 nm,1.86 GHz,27 W,,,
130 nm,1.50 GHz,24.5 W,,,
90 nm,2.40 GHz,73 W,,,
32 nm,1.90 GHz,35 W,32 GB,17 GB/s,650 MHz
32 nm,1.50 GHz,17 W,16 GB,21.3 GB/s,350 MHz
,1.30 GHz,10 W,16 GB,21.3 GB/s,
32 nm,2.00 GHz,35 W,8 GB,17.1 GB/s,500 MHz
32 nm,1.20 GHz,18 W,8 GB,12.8 GB/s,166 MHz
,366 MHz,13.1 W,,,
45 nm,2.00 GHz,35 W,,,
45 nm,2.50 GHz,65 W,,,
45 nm,2.20 GHz,35 W,,,
45 nm,1.30 GHz,10 W,,,
65 nm,2.26 GHz,31 W,,,
65 nm,2.00 GHz,65 W,,,
65 nm,2.00 GHz,35 W,,,
,500 MHz,,,,
130 nm,1.50 GHz,30 W,,,
250 nm,366 MHz,21.7 W,,,
130 nm,1.13 GHz,23.8 W,,,
130 nm,1.70 GHz,63.5 W,,,
65 nm,1.73 GHz,27 W,,,
180 nm,1.10 GHz,33 W,,,
130 nm,1.40 GHz,24.5 W,,,
90 nm,2.26 GHz,73 W,,,
32 nm,2.00 GHz,35 W,32 GB,17 GB/s,650 MHz
32 nm,1.30 GHz,17 W,16 GB,21.3 GB/s,350 MHz
45 nm,2.30 GHz,35 W,,,
32 nm,1.06 GHz,18 W,8 GB,17.1 GB/s,166 MHz
,300 MHz,11.8 W,,,
90 nm,2.40 GHz,84 W,,,
32 nm,1.86 GHz,35 W,8 GB,17.1 GB/s,500 MHz
45 nm,2.40 GHz,65 W,,,
45 nm,1.20 GHz,10 W,,,
65 nm,2.00 GHz,31 W,,,
65 nm,2.20 GHz,65 W,,,
65 nm,1.80 GHz,35 W,,,
65 nm,1.73 GHz,30 W,,,
65 nm,1.83 GHz,27 W,,,
180 nm,450 MHz,15.5 W,,,
130 nm,1.40 GHz,30 W,,,
130 nm,1.06 GHz,23.2 W,,,
250 nm,333 MHz,19.7 W,,,
130 nm,1.00 GHz,27.8 W,,,
65 nm,1.60 GHz,27 W,,,
130 nm,1.30 GHz,24.5 W,,,
90 nm,2.26 GHz,73 W,,,
22 nm,1.50 GHz,17 W,16 GB,25.6 GB/s,350 MHz
32 nm,1.40 GHz,17 W,16 GB,21.3 GB/s,350 MHz
45 nm,1.40 GHz,10 W,,,
,266 MHz,9.8 W,,,
32 nm,1.06 GHz,18 W,8 GB,12.8 GB/s,166 MHz
45 nm,1.33 GHz,30 W,,,
32 nm,1.86 GHz,35 W,8 GB,17.1 GB/s,500 MHz
45 nm,1.20 GHz,10 W,,,
45 nm,1.90 GHz,35 W,,,
45 nm,1.20 GHz,5.5 W,,,
65 nm,2.16 GHz,31 W,,,
65 nm,2.40 GHz,65 W,,,
65 nm,1.20 GHz,19 W,,,
65 nm,1.66 GHz,27 W,,,
65 nm,1.60 GHz,35 W,,,
65 nm,1.60 GHz,30 W,,,
130 nm,1.20 GHz,20.8 W,,,
130 nm,1.00 GHz,22 W,,,
250 nm,300 MHz,17.8 W,,,
180 nm,1.00 GHz,29 W,,,
65 nm,1.46 GHz,27 W,,,
130 nm,1.20 GHz,24.5 W,,,
90 nm,2.13 GHz,73 W,,,
14 nm,1.70 GHz,85 W,768 GB,,
14 nm,1.80 GHz,85 W,768 GB,,
14 nm,2.00 GHz,70 W,768 GB,,
14 nm,2.10 GHz,85 W,768 GB,,
14 nm,2.60 GHz,85 W,768 GB,,
14 nm,2.20 GHz,85 W,768 GB,,
14 nm,2.20 GHz,85 W,768 GB,,
14 nm,2.10 GHz,85 W,768 GB,,
14 nm,2.10 GHz,85 W,768 GB,,
14 nm,2.40 GHz,85 W,768 GB,,
14 nm,2.30 GHz,105 W,768 GB,,
14 nm,1.90 GHz,85 W,768 GB,,
14 nm,2.20 GHz,105 W,768 GB,,
14 nm,3.60 GHz,105 W,768 GB,,
14 nm,2.20 GHz,105 W,768 GB,,
14 nm,2.60 GHz,125 W,768 GB,,
14 nm,2.60 GHz,135 W,768 GB,,
14 nm,2.60 GHz,125 W,768 GB,,
14 nm,3.40 GHz,115 W,768 GB,,
14 nm,2.10 GHz,125 W,768 GB,,
14 nm,2.10 GHz,135 W,768 GB,,
14 nm,2.10 GHz,125 W,768 GB,,
14 nm,2.60 GHz,140 W,768 GB,,
14 nm,3.20 GHz,130 W,1.5 TB,,
14 nm,3.20 GHz,130 W,768 GB,,
14 nm,3.00 GHz,150 W,768 GB,,
14 nm,2.00 GHz,125 W,768 GB,,
14 nm,2.00 GHz,135 W,768 GB,,
14 nm,2.00 GHz,125 W,768 GB,,
14 nm,2.30 GHz,140 W,768 GB,,
14 nm,2.30 GHz,140 W,1.5 TB,,
14 nm,2.60 GHz,150 W,768 GB,,
14 nm,2.60 GHz,150 W,1.5 TB,,
14 nm,3.50 GHz,150 W,768 GB,,
14 nm,2.60 GHz,160 W,768 GB,,
14 nm,3.20 GHz,165 W,768 GB,,
14 nm,2.40 GHz,150 W,768 GB,,
14 nm,2.40 GHz,160 W,768 GB,,
14 nm,2.70 GHz,165 W,768 GB,,
14 nm,2.10 GHz,140 W,768 GB,,
14 nm,3.00 GHz,200 W,768 GB,,
14 nm,2.00 GHz,125 W,768 GB,,
14 nm,3.60 GHz,105 W,768 GB,,
14 nm,3.00 GHz,150 W,768 GB,,
14 nm,2.10 GHz,150 W,768 GB,,
14 nm,2.10 GHz,160 W,768 GB,,
14 nm,2.10 GHz,150 W,768 GB,,
14 nm,2.10 GHz,150 W,1.5 TB,,
14 nm,2.00 GHz,150 W,768 GB,,
14 nm,2.70 GHz,205 W,768 GB,,
14 nm,2.10 GHz,165 W,768 GB,,
14 nm,2.10 GHz,165 W,1.5 TB,,
14 nm,2.10 GHz,165 W,768 GB,,
14 nm,2.10 GHz,173 W,768 GB,,
14 nm,2.10 GHz,165 W,1.5 TB,,
14 nm,2.50 GHz,205 W,768 GB,,
14 nm,2.50 GHz,205 W,1.5 TB,,
14 nm,2.00 GHz,115 W,3.07 TB,85 GB/s,
14 nm,2.00 GHz,115 W,3.07 TB,85 GB/s,
14 nm,2.10 GHz,115 W,3.07 TB,85 GB/s,
14 nm,2.20 GHz,140 W,3.07 TB,85 GB/s,
14 nm,2.40 GHz,165 W,3.07 TB,85 GB/s,
14 nm,2.10 GHz,140 W,3.07 TB,85 GB/s,
14 nm,2.20 GHz,150 W,3.07 TB,85 GB/s,
14 nm,2.20 GHz,165 W,3.07 TB,85 GB/s,
14 nm,2.80 GHz,165 W,3.07 TB,85 GB/s,
14 nm,3.20 GHz,140 W,3.07 TB,85 GB/s,
14 nm,2.40 GHz,165 W,3.07 TB,85 GB/s,
22 nm,2.10 GHz,115 W,1.54 TB,85 GB/s,
22 nm,1.90 GHz,115 W,1.54 TB,85 GB/s,
22 nm,2.20 GHz,115 W,1.54 TB,85 GB/s,
22 nm,2.20 GHz,140 W,1.54 TB,85 GB/s,
22 nm,2.50 GHz,165 W,1.54 TB,85 GB/s,
22 nm,2.10 GHz,140 W,1.54 TB,85 GB/s,
22 nm,2.30 GHz,150 W,1.54 TB,85 GB/s,
22 nm,2.00 GHz,115 W,1.54 TB,85 GB/s,
22 nm,2.50 GHz,165 W,1.54 TB,85 GB/s,
22 nm,2.80 GHz,165 W,1.54 TB,85 GB/s,
22 nm,3.20 GHz,140 W,1.54 TB,85 GB/s,
22 nm,2.30 GHz,130 W,1.54 TB,85 GB/s,
22 nm,2.50 GHz,130 W,1.54 TB,85 GB/s,
22 nm,2.80 GHz,155 W,1.54 TB,85 GB/s,
22 nm,1.90 GHz,105 W,1.54 TB,68 GB/s,
22 nm,2.00 GHz,105 W,1.54 TB,68 GB/s,
22 nm,2.20 GHz,105 W,1.54 TB,68 GB/s,
22 nm,2.30 GHz,105 W,1.54 TB,68 GB/s,
22 nm,2.60 GHz,130 W,1.54 TB,85 GB/s,
22 nm,2.30 GHz,130 W,1.54 TB,85 GB/s,
22 nm,2.50 GHz,130 W,1.54 TB,85 GB/s,
22 nm,2.80 GHz,155 W,1.54 TB,85 GB/s,
22 nm,3.40 GHz,155 W,1.54 TB,85 GB/s,
22 nm,3.20 GHz,155 W,1.54 TB,85 GB/s,
22 nm,2.80 GHz,155 W,1.54 TB,85 GB/s,
22 nm,2.20 GHz,105 W,1.54 TB,85 GB/s,
22 nm,2.50 GHz,130 W,1.54 TB,85 GB/s,
22 nm,2.30 GHz,130 W,1.54 TB,85 GB/s,
22 nm,3.00 GHz,130 W,1.54 TB,85 GB/s,
22 nm,2.30 GHz,105 W,1.54 TB,68 GB/s,
32 nm,2.00 GHz,105 W,1.02 TB,,
32 nm,2.13 GHz,105 W,1.02 TB,,
32 nm,2.00 GHz,130 W,1.02 TB,,
32 nm,2.26 GHz,130 W,1.02 TB,,
32 nm,2.40 GHz,130 W,1.02 TB,,
32 nm,1.86 GHz,95 W,2.05 TB,,
32 nm,2.00 GHz,105 W,2.05 TB,,
32 nm,2.13 GHz,105 W,2.05 TB,,
32 nm,2.00 GHz,130 W,2.05 TB,,
32 nm,2.26 GHz,130 W,2.05 TB,,
32 nm,2.40 GHz,130 W,2.05 TB,,
32 nm,2.13 GHz,105 W,4.1 TB,,
32 nm,2.66 GHz,130 W,4.1 TB,,
32 nm,2.00 GHz,130 W,4.1 TB,,
32 nm,2.26 GHz,130 W,4.1 TB,,
32 nm,2.13 GHz,105 W,4.1 TB,,
32 nm,2.40 GHz,130 W,4.1 TB,,
14 nm,2.60 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,2.20 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,3.30 GHz,65 W,32 GB,25.6 GB/s,300 MHz
14 nm,3.30 GHz,65 W,32 GB,29.86 GB/s,300 MHz
14 nm,2.70 GHz,47 W,32 GB,25.6 GB/s,300 MHz
14 nm,2.60 GHz,47 W,32 GB,25.6 GB/s,300 MHz
14 nm,2.50 GHz,47 W,32 GB,25.6 GB/s,300 MHz
14 nm,2.70 GHz,47 W,32 GB,25.6 GB/s,300 MHz
14 nm,2.70 GHz,47 W,32 GB,25.6 GB/s,300 MHz
14 nm,2.90 GHz,47 W,32 GB,25.6 GB/s,300 MHz
14 nm,2.40 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,900 MHz,4.5 W,16 GB,29.8 GB/s,300 MHz
14 nm,3.60 GHz,54 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.10 GHz,28 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.90 GHz,28 W,32 GB,34.1 GB/s,300 MHz
14 nm,1.00 GHz,4.5 W,16 GB,29.8 GB/s,300 MHz
14 nm,3.00 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.40 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.80 GHz,28 W,32 GB,34.1 GB/s,300 MHz
14 nm,3.90 GHz,51 W,64 GB,,350 MHz
14 nm,2.90 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.40 GHz,35 W,64 GB,,350 MHz
14 nm,3.40 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.90 GHz,54 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.10 GHz,25 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.70 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,3.50 GHz,35 W,64 GB,,350 MHz
14 nm,4.00 GHz,51 W,64 GB,,350 MHz
14 nm,4.10 GHz,51 W,64 GB,,350 MHz
14 nm,4.20 GHz,60 W,64 GB,,350 MHz
14 nm,1.10 GHz,4.5 W,16 GB,29.8 GB/s,300 MHz
14 nm,2.50 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.20 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,3.30 GHz,28 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.60 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.20 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.40 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.60 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.60 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.40 GHz,65 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.40 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.80 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,4.00 GHz,91 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.30 GHz,65 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.80 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.70 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.70 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.00 GHz,25 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.70 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.90 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.80 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,1.80 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.30 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.40 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.30 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.30 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.00 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,1.90 GHz,25 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.60 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.70 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.20 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.70 GHz,65 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.80 GHz,65 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.30 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.50 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.20 GHz,65 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.80 GHz,65 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.70 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.50 GHz,91 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.20 GHz,65 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.30 GHz,65 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.00 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.70 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.20 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.70 GHz,51 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.70 GHz,28 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.40 GHz,28 W,32 GB,34.1 GB/s,300 MHz
14 nm,1.90 GHz,25 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.30 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.70 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.90 GHz,51 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.30 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.70 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.80 GHz,51 W,64 GB,34.1 GB/s,350 MHz
14 nm,1.10 GHz,4.5 W,16 GB,29.8 GB/s,300 MHz
14 nm,1.10 GHz,4.5 W,16 GB,29.8 GB/s,300 MHz
14 nm,1.20 GHz,4.5 W,16 GB,29.8 GB/s,300 MHz
14 nm,2.00 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,3.10 GHz,28 W,16 GB,25.6 GB/s,300 MHz
